질문ID	도메인(원본)	도메인(원본)	gold_source_urls	질문 복잡도	중요도	예상질문	의도그룹	상세의도_주	사용자역할	gold_business_function	gold_intent	gold_scenario	gold_document_ids	gold_section_titles	gold_chunk_ids	gold_answerable	gold_requires_clarification	gold_mapping_status	gold_review_required	gold_mapping_note	gold_answerable_status	gold_review_status	응답정책	추가질문필요	답변가능성	필수응답요소	라벨메모	비고/기대동작	gold_ambiguity_status	gold_expected_action	gold_clarification_question	gold_clarification_options	선택의도	정답의도	gold_evidence_requirement	gold_primary_chunk_ids	gold_supporting_chunk_ids	multi_chunk_required
Q001	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/sp/dpstrprot/ProtSystProtLmts/selectScrn.do"]	L1_single_fact	상	예금자 1인당 보호받을 수 있는 한도는 얼마인가요?	INFORMATION	AMOUNT_DEADLINE	예금자	deposit_protection	amount_or_deadline	{"user_role":"depositor"}	["DP-001"]	["보호한도"]	["DP-001_chunk_000"]	TRUE	FALSE	single_chunk_document	N	상위 문서에 청크가 하나뿐임	answerable	auto_approved	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		1억원 한도, 초과금액 비보호 원칙	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-001_chunk_000"]	[]	N
Q002	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/sp/dpstrprot/ProtSystProtLmts/selectScrn.do"]	L1_single_fact	상	한도를 초과한 금액은 어떻게 되나요?	INFORMATION	AMOUNT_DEADLINE	예금자	deposit_protection	amount_or_deadline	{"user_role":"depositor"}	["DP-001"]	["보호한도"]	["DP-001_chunk_000"]	TRUE	FALSE	single_chunk_document	N	상위 문서에 청크가 하나뿐임	answerable	auto_approved	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		1억원 한도, 초과금액 비보호 원칙	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-001_chunk_000"]	[]	N
Q003	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/sp/dpstrprot/ProtSystProtLmts/selectScrn.do"]	L2_multi_fact	상	원금과 이자를 합쳐서 계산하나요, 따로 계산하나요?	INFORMATION	CALCULATION_RULE	예금자	deposit_protection	calculation_rule	{"user_role":"depositor"}	["DP-001"]	["보호한도"]	["DP-001_chunk_000"]	TRUE	FALSE	single_chunk_document	N	상위 문서에 청크가 하나뿐임	answerable	auto_approved	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		1억원 한도, 초과금액 비보호 원칙	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-001_chunk_000"]	[]	N
Q004	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/sp/dpstrprot/ProtSyst/selectScrn.do"]	L2_multi_fact	상	예금자보호제도가 뭔가요?	INFORMATION	DEFINITION	예금자	deposit_protection	definition	{"user_role":"depositor"}	["DP-002"]	["예금 지급불능 사태를 방지","보험의 원리를 이용하여 예금자를 보호"]	["DP-002_chunk_001","DP-002_chunk_002"]	TRUE	FALSE	retrieval_candidate_review	Y	질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요	answerable	pending_review	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		제도 원리 설명, 기능1 대표항목	clear	answer		[]	정보안내	정보안내	PRIMARY_PLUS_SUPPORT	["DP-002_chunk_001"]	["DP-002_chunk_002"]	Y
Q005	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/sp/dpstrprot/ProtSyst/selectScrn.do"]	L2_multi_fact	상	예금보험공사는 어떤 원리로 예금을 대신 지급하나요?	INFORMATION	DEFINITION	예금자	deposit_protection	definition	{"user_role":"depositor"}	["DP-002"]	["예금보험의 구조","보험의 원리를 이용하여 예금자를 보호"]	["DP-002_chunk_000","DP-002_chunk_002"]	TRUE	FALSE	retrieval_candidate_review	Y	질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요	answerable	pending_review	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		제도 원리 설명, 기능1 대표항목	clear	answer		[]	정보안내	정보안내	PRIMARY_PLUS_SUPPORT	["DP-002_chunk_002"]	["DP-002_chunk_000"]	Y
Q006	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/sp/dpstrprot/ProtSyst/selectScrn.do"]	L1_single_fact	상	보험료는 누가 내나요?	INFORMATION	DEFINITION	예금자	deposit_protection	definition	{"user_role":"depositor"}	["DP-002"]	["보험의 원리를 이용하여 예금자를 보호"]	["DP-002_chunk_002"]	TRUE	FALSE	retrieval_candidate_review	Y	질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요	answerable	pending_review	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		제도 원리 설명, 기능1 대표항목	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-002_chunk_002"]	[]	N
Q007	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do"]	L2_multi_fact	상	어떤 금융회사가 예금보호 대상인가요?	INFORMATION	ELIGIBILITY_CONDITION	예금자	deposit_protection	eligibility	{"user_role":"depositor"}	["DP-003"]	["보호대상금융회사"]	["DP-003_chunk_001","DP-003_chunk_002"]	TRUE	FALSE	direct_metadata_match	N	페이지·섹션 구조를 기준으로 매핑	answerable	auto_approved	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		은행·보험사 등 보호대상 금융회사	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-003_chunk_001","DP-003_chunk_002"]	[]	Y
Q008	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do"]	L2_multi_fact	상	상호저축은행도 보호되나요?	INFORMATION	ELIGIBILITY_CONDITION	예금자	deposit_protection	eligibility	{"user_role":"depositor"}	["DP-003"]	["보호대상금융회사"]	["DP-003_chunk_001","DP-003_chunk_002"]	TRUE	FALSE	direct_metadata_match	N	페이지·섹션 구조를 기준으로 매핑	answerable	auto_approved	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		은행·보험사 등 보호대상 금융회사	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-003_chunk_001","DP-003_chunk_002"]	[]	Y
Q009	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do"]	L2_multi_fact	상	증권사는 예금보호 대상에 포함되나요?	INFORMATION	ELIGIBILITY_CONDITION	예금자	deposit_protection	eligibility	{"user_role":"depositor"}	["DP-003"]	["보호대상금융회사"]	["DP-003_chunk_002"]	TRUE	FALSE	direct_metadata_match	N	페이지·섹션 구조를 기준으로 매핑	answerable	auto_approved	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		은행·보험사 등 보호대상 금융회사	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-003_chunk_002"]	[]	N
Q010	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtTrgtPrdctSumr.do"]	L2_multi_fact	상	어떤 금융상품이 보호되나요?	INFORMATION	ELIGIBILITY_CONDITION	예금자	deposit_protection	eligibility	{"user_role":"depositor"}	["DP-004"]	["보험회사 비보호 금융상품","보호대상 금융상품 개요"]	["DP-004_chunk_007","DP-004_chunk_012"]	TRUE	FALSE	retrieval_candidate_review	Y	질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요	answerable	pending_review	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		보호/비보호 상품 구분기준	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-004_chunk_012"]	["DP-004_chunk_007"]	N
Q011	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtTrgtPrdctSumr.do"]	L2_multi_fact	상	투자신탁 상품도 보호 대상인가요?	INFORMATION	ELIGIBILITY_CONDITION	예금자	deposit_protection	eligibility	{"user_role":"depositor"}	["DP-004"]	["투자 매매업자·투자 중개업자 비보호 금융상품","보험회사 비보호 금융상품"]	["DP-004_chunk_005","DP-004_chunk_007"]	TRUE	FALSE	retrieval_candidate_review	Y	질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요	answerable	pending_review	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		보호/비보호 상품 구분기준	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-004_chunk_005"]	["DP-004_chunk_007"]	N
Q012	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtTrgtPrdctSumr.do"]	L2_multi_fact	상	보호상품과 비보호상품은 어떻게 구분하나요?	INFORMATION	GENERAL_INFORMATION	예금자	deposit_protection	general_information	{"user_role":"depositor"}	["DP-004"]	["보험회사 비보호 금융상품","은행 비보호 금융상품"]	["DP-004_chunk_007","DP-004_chunk_003"]	TRUE	FALSE	retrieval_candidate_review	Y	질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요	answerable	pending_review	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		보호/비보호 상품 구분기준	clear	answer		[]	정보안내	정보안내	ALL	["DP-004_chunk_007", "DP-004_chunk_003"]	[]	Y
Q013	예금자보호제도	예금자보호제도	["https://fins.kdic.or.kr/cm/bbs/selectFaqNramtAply.do"]	L3_conditional	중	계열 저축은행에 나눠 예금하면 보호한도가 각각 적용되나요?	INFORMATION	AMOUNT_DEADLINE	예금자	deposit_protection	amount_or_deadline	{"user_role":"depositor"}	["DP-005"]	["계열 저축은행에 분산하여 예금을 하였는데 각각 1억원까지 예금 보호가 되나요?"]	["DP-005_chunk_004"]	TRUE	FALSE	retrieval_candidate_review	Y	질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요	answerable	pending_review	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		계열저축은행 분산예금, 영업정지 후 인출절차	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-005_chunk_004"]	[]	N
Q014	예금자보호제도	예금자보호제도	["https://fins.kdic.or.kr/cm/bbs/selectFaqNramtAply.do"]	L3_conditional	중	은행이 영업정지되면 예금은 어떻게 찾나요?	ACTION	PROCEDURE	예금자	deposit_protection	procedure	{"user_role":"depositor"}	["DP-005"]	["영업정지 저축은행에서 발행한 후순위채권은 어떻게 되나요?","향후 영업정지된 저축은행의 진행사항은 어떻게 되나요?"]	["DP-005_chunk_002","DP-005_chunk_009"]	TRUE	FALSE	retrieval_candidate_review	Y	질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요	answerable	pending_review	ACTION_GUIDE	N	Y	절차 + 필요 서류 + 실행/신청 링크 + 출처		계열저축은행 분산예금, 영업정지 후 인출절차	clear	answer		[]	신청처리	신청처리	PRIMARY_ONLY	["DP-005_chunk_002","DP-005_chunk_009"]	[]	N
Q015	예금자보호제도	예금자보호제도	["https://fins.kdic.or.kr/cm/bbs/selectFaqNramtAply.do"]	L3_conditional	중	영업정지 기간 중에도 예금 인출이 가능한가요?	INFORMATION	AMOUNT_DEADLINE	예금자	deposit_protection	amount_or_deadline	{"user_role":"depositor"}	["DP-005"]	["향후 영업정지된 저축은행의 진행사항은 어떻게 되나요?"]	["DP-005_chunk_009"]	TRUE	FALSE	retrieval_candidate_review	Y	질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요	answerable	pending_review	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		계열저축은행 분산예금, 영업정지 후 인출절차	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-005_chunk_009"]	[]	N
Q016	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/sp/dpstrprot/ProtSystFaq/selectScrn.do"]	L1_single_fact	중	2025년에 보호한도가 상향됐다는데 맞나요?	INFORMATION	AMOUNT_DEADLINE	예금자	deposit_protection	amount_or_deadline	{"user_role":"depositor"}	["DP-006"]	["예금보호한도 1억원은 언제부터 적용되었나요?"]	["DP-006_chunk_000"]	TRUE	FALSE	retrieval_candidate_review	Y	질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요	answerable	pending_review	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		시점 민감 질문 ? 최신성 검증 필요	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-006_chunk_000"]	[]	N
