질문ID,원본행,카테고리,도메인(원본),업무라벨,페이지/입력유형,질문유형(원본),중요도,예상질문,의도그룹,상세의도_주,상세의도_부,사용자역할,응답정책,추가질문필요,답변가능성,필수응답요소,검토필요,라벨확신도,라벨메모,비고/기대동작,gold_business_function,gold_intent,gold_scenario,gold_document_ids,gold_section_titles,gold_chunk_ids,gold_source_urls,gold_answerable,gold_requires_clarification,gold_mapping_status,gold_review_required,gold_mapping_note
Q001,1,업무질문,예금자보호제도,예금자보호제도,보호한도,"금액형, 정의형",상,예금자 1인당 보호받을 수 있는 한도는 얼마인가요?,INFORMATION,AMOUNT_DEADLINE,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"1억원 한도, 초과금액 비보호 원칙",deposit_protection,amount_or_deadline,"{""user_role"":""depositor""}","[""DP-001""]","[""보호한도""]","[""DP-001_chunk_000""]","[""https://www.kdic.or.kr/sp/dpstrprot/ProtSystProtLmts/selectScrn.do""]",TRUE,FALSE,single_chunk_document,N,상위 문서에 청크가 하나뿐임
Q002,1,업무질문,예금자보호제도,예금자보호제도,보호한도,"금액형, 정의형",상,한도를 초과한 금액은 어떻게 되나요?,INFORMATION,AMOUNT_DEADLINE,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"1억원 한도, 초과금액 비보호 원칙",deposit_protection,amount_or_deadline,"{""user_role"":""depositor""}","[""DP-001""]","[""보호한도""]","[""DP-001_chunk_000""]","[""https://www.kdic.or.kr/sp/dpstrprot/ProtSystProtLmts/selectScrn.do""]",TRUE,FALSE,single_chunk_document,N,상위 문서에 청크가 하나뿐임
Q003,1,업무질문,예금자보호제도,예금자보호제도,보호한도,"금액형, 정의형",상,"원금과 이자를 합쳐서 계산하나요, 따로 계산하나요?",INFORMATION,CALCULATION_RULE,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"1억원 한도, 초과금액 비보호 원칙",deposit_protection,calculation_rule,"{""user_role"":""depositor""}","[""DP-001""]","[""보호한도""]","[""DP-001_chunk_000""]","[""https://www.kdic.or.kr/sp/dpstrprot/ProtSystProtLmts/selectScrn.do""]",TRUE,FALSE,single_chunk_document,N,상위 문서에 청크가 하나뿐임
Q004,2,업무질문,예금자보호제도,예금자보호제도,예금자보호제도,정의형,상,예금자보호제도가 뭔가요?,INFORMATION,DEFINITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"제도 원리 설명, 기능1 대표항목",deposit_protection,definition,"{""user_role"":""depositor""}","[""DP-002""]","[""보험의 원리를 이용하여 예금자를 보호""]","[""DP-002_chunk_002""]","[""https://www.kdic.or.kr/sp/dpstrprot/ProtSyst/selectScrn.do""]",TRUE,FALSE,retrieval_candidate_review,Y,질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요
Q005,2,업무질문,예금자보호제도,예금자보호제도,예금자보호제도,정의형,상,예금보험공사는 어떤 원리로 예금을 대신 지급하나요?,INFORMATION,DEFINITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"제도 원리 설명, 기능1 대표항목",deposit_protection,definition,"{""user_role"":""depositor""}","[""DP-002""]","[""예금보험의 구조"",""보험의 원리를 이용하여 예금자를 보호""]","[""DP-002_chunk_000"",""DP-002_chunk_002""]","[""https://www.kdic.or.kr/sp/dpstrprot/ProtSyst/selectScrn.do""]",TRUE,FALSE,retrieval_candidate_review,Y,질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요
Q006,2,업무질문,예금자보호제도,예금자보호제도,예금자보호제도,정의형,상,보험료는 누가 내나요?,INFORMATION,DEFINITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"제도 원리 설명, 기능1 대표항목",deposit_protection,definition,"{""user_role"":""depositor""}","[""DP-002""]","[""보험의 원리를 이용하여 예금자를 보호""]","[""DP-002_chunk_002""]","[""https://www.kdic.or.kr/sp/dpstrprot/ProtSyst/selectScrn.do""]",TRUE,FALSE,retrieval_candidate_review,Y,질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요
Q007,3,업무질문,예금자보호제도,예금자보호제도,보호대상 > 금융회사 > 개요,대상형,상,어떤 금융회사가 예금보호 대상인가요?,INFORMATION,ELIGIBILITY_CONDITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,은행·보험사 등 보호대상 금융회사,deposit_protection,eligibility,"{""user_role"":""depositor""}","[""DP-003""]","[""보호대상금융회사""]","[""DP-003_chunk_001"",""DP-003_chunk_002""]","[""https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q008,3,업무질문,예금자보호제도,예금자보호제도,보호대상 > 금융회사 > 개요,대상형,상,상호저축은행도 보호되나요?,INFORMATION,ELIGIBILITY_CONDITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,은행·보험사 등 보호대상 금융회사,deposit_protection,eligibility,"{""user_role"":""depositor""}","[""DP-003""]","[""보호대상금융회사""]","[""DP-003_chunk_001"",""DP-003_chunk_002""]","[""https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q009,3,업무질문,예금자보호제도,예금자보호제도,보호대상 > 금융회사 > 개요,대상형,상,증권사는 예금보호 대상에 포함되나요?,INFORMATION,ELIGIBILITY_CONDITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,은행·보험사 등 보호대상 금융회사,deposit_protection,eligibility,"{""user_role"":""depositor""}","[""DP-003""]","[""보호대상금융회사""]","[""DP-003_chunk_001"",""DP-003_chunk_002""]","[""https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q010,4,업무질문,예금자보호제도,예금자보호제도,보호대상 > 금융상품 > 개요,"대상형, 조건형",상,어떤 금융상품이 보호되나요?,INFORMATION,ELIGIBILITY_CONDITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,보호/비보호 상품 구분기준,deposit_protection,eligibility,"{""user_role"":""depositor""}","[""DP-004""]","[""보험회사 비보호 금융상품"",""보호대상 금융상품 개요""]","[""DP-004_chunk_007"",""DP-004_chunk_012""]","[""https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtTrgtPrdctSumr.do""]",TRUE,FALSE,retrieval_candidate_review,Y,질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요
