질문ID,원본행,카테고리,도메인(원본),업무라벨,페이지/입력유형,질문유형(원본),중요도,예상질문,의도그룹,상세의도_주,상세의도_부,사용자역할,응답정책,추가질문필요,답변가능성,필수응답요소,검토필요,라벨확신도,라벨메모,비고/기대동작
Q001,1,업무질문,예금자보호제도,예금자보호제도,보호한도,"금액형, 정의형",상,예금자 1인당 보호받을 수 있는 한도는 얼마인가요?,INFORMATION,AMOUNT_DEADLINE,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"1억원 한도, 초과금액 비보호 원칙"
Q002,1,업무질문,예금자보호제도,예금자보호제도,보호한도,"금액형, 정의형",상,한도를 초과한 금액은 어떻게 되나요?,INFORMATION,AMOUNT_DEADLINE,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"1억원 한도, 초과금액 비보호 원칙"
Q003,1,업무질문,예금자보호제도,예금자보호제도,보호한도,"금액형, 정의형",상,"원금과 이자를 합쳐서 계산하나요, 따로 계산하나요?",INFORMATION,CALCULATION_RULE,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"1억원 한도, 초과금액 비보호 원칙"
Q004,2,업무질문,예금자보호제도,예금자보호제도,예금자보호제도,정의형,상,예금자보호제도가 뭔가요?,INFORMATION,DEFINITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"제도 원리 설명, 기능1 대표항목"
Q005,2,업무질문,예금자보호제도,예금자보호제도,예금자보호제도,정의형,상,예금보험공사는 어떤 원리로 예금을 대신 지급하나요?,INFORMATION,DEFINITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"제도 원리 설명, 기능1 대표항목"
Q006,2,업무질문,예금자보호제도,예금자보호제도,예금자보호제도,정의형,상,보험료는 누가 내나요?,INFORMATION,DEFINITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"제도 원리 설명, 기능1 대표항목"
Q007,3,업무질문,예금자보호제도,예금자보호제도,보호대상 > 금융회사 > 개요,대상형,상,어떤 금융회사가 예금보호 대상인가요?,INFORMATION,ELIGIBILITY_CONDITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,은행·보험사 등 보호대상 금융회사
Q008,3,업무질문,예금자보호제도,예금자보호제도,보호대상 > 금융회사 > 개요,대상형,상,상호저축은행도 보호되나요?,INFORMATION,ELIGIBILITY_CONDITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,은행·보험사 등 보호대상 금융회사
Q009,3,업무질문,예금자보호제도,예금자보호제도,보호대상 > 금융회사 > 개요,대상형,상,증권사는 예금보호 대상에 포함되나요?,INFORMATION,ELIGIBILITY_CONDITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,은행·보험사 등 보호대상 금융회사
Q010,4,업무질문,예금자보호제도,예금자보호제도,보호대상 > 금융상품 > 개요,"대상형, 조건형",상,어떤 금융상품이 보호되나요?,INFORMATION,ELIGIBILITY_CONDITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,보호/비보호 상품 구분기준
Q011,4,업무질문,예금자보호제도,예금자보호제도,보호대상 > 금융상품 > 개요,"대상형, 조건형",상,투자신탁 상품도 보호 대상인가요?,INFORMATION,ELIGIBILITY_CONDITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,보호/비보호 상품 구분기준
Q012,4,업무질문,예금자보호제도,예금자보호제도,보호대상 > 금융상품 > 개요,"대상형, 조건형",상,보호상품과 비보호상품은 어떻게 구분하나요?,INFORMATION,GENERAL_INFORMATION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,보호/비보호 상품 구분기준
Q013,5,업무질문,예금자보호제도,예금자보호제도,FAQ 미수령금통합신청(실내용은 예금보호),"조건형, 절차형, 예외형",중,계열 저축은행에 나눠 예금하면 보호한도가 각각 적용되나요?,INFORMATION,AMOUNT_DEADLINE,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"계열저축은행 분산예금, 영업정지 후 인출절차"
Q014,5,업무질문,예금자보호제도,예금자보호제도,FAQ 미수령금통합신청(실내용은 예금보호),"조건형, 절차형, 예외형",중,은행이 영업정지되면 예금은 어떻게 찾나요?,ACTION,PROCEDURE,,예금자,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,"계열저축은행 분산예금, 영업정지 후 인출절차"
Q015,5,업무질문,예금자보호제도,예금자보호제도,FAQ 미수령금통합신청(실내용은 예금보호),"조건형, 절차형, 예외형",중,영업정지 기간 중에도 예금 인출이 가능한가요?,INFORMATION,AMOUNT_DEADLINE,PROCEDURE | ELIGIBILITY_CONDITION,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"계열저축은행 분산예금, 영업정지 후 인출절차"
Q016,6,업무질문,예금자보호제도,예금자보호제도,예금자보호제도 FAQ,"예외형, 정의형",중,2025년에 보호한도가 상향됐다는데 맞나요?,INFORMATION,AMOUNT_DEADLINE,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,시점 민감 질문 — 최신성 검증 필요
Q017,6,업무질문,예금자보호제도,예금자보호제도,예금자보호제도 FAQ,"예외형, 정의형",중,한도 상향은 언제부터 적용되나요?,INFORMATION,AMOUNT_DEADLINE,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,시점 민감 질문 — 최신성 검증 필요
